term_str,n,max_pos
anyones,1,VB
anything,204,NN
anyway,1,NN
anywhere,1,NN
apart,1,NN
apartment,14,NN
apartments,1,NN
ape,1,NN
aperture,3,NN
apex,1,NN
apiece,2,NN
apocrypha,1,NN
apologetic,1,VB
apologies,1,NN
apologise,2,VB
apologize,1,VB
apology,12,NN
apoplexy,2,NN
apparently,3,NN
apparition,7,NN
appeal,7,NN
appear,21,VB
appearance,72,NN
appearances,1,VB
appeared,3,NN
appears,1,NN
appended,1,NN
appetite,2,NN
applauded,1,VB
applause,4,NN
apple,3,NN
applicant,1,NN
application,2,NN
applies,1,NN
apply,14,VB
appointed,1,VB
appointment,28,NN
appreciate,6,VB
appreciation,5,NN
apprehend,1,VB
apprehension,1,NN
approach,10,NN
approaching,2,NN
approbation,1,NN
approval,1,NN
approve,1,VB
approvingly,3,NN
apron,2,NN
apropos,1,NN
aptitudes,1,NN
aqua,1,NN
aquiline,3,NN
arat,1,NN
arc,1,NN
arca,1,NN
arch,3,NN
archaeologist,1,NN
architect,1,NN
architects,1,NN
architecture,1,NN
are,25,NN
area,2,NN
arent,1,NN
argue,7,VB
argument,9,NN
arguments,1,NN
aright,1,NN
arise,3,VB
arm,53,NN
armchair,24,NN
armchairs,1,NN
armed,3,NN
armitage,1,NN
armoury,1,NN
arms,9,NN
army,11,NN
arose,1,NN
around,1,NN
arouse,1,VB
arrange,5,VB
arranged,5,NN
arrangement,3,NN
arrangements,6,NN
array,1,NN
arrest,22,NN
arrested,1,NN
arrests,1,NN
arrival,19,NN
arrive,7,VB
arrived,5,NN
arrow,2,NN
arrows,2,NN
art,20,NN
artery,1,NN
arthur,4,NN
article,17,NN
articles,3,NN
artillery,3,NN
artisan,1,NN
artist,8,NN
artistic,1,NN
arts,1,NN
as,24,NN
ascend,4,VB
ascendancy,2,NN
ascertain,6,VB
asceticism,1,NN
ash,11,NN
ashamed,1,NN
ashen,1,NN
ashes,1,NN
ashore,1,VB
aside,1,NN
ask,111,VB
askance,3,NN
asked,14,VB
asking,1,VB
asleep,3,NN
aspect,5,NN
asperity,4,NN
asphalt,1,NN
aspiration,1,NN
asprawl,1,NN
ass,1,NN
assailant,1,NN
assailants,5,NN
assassin,11,NN
assault,2,NN
assemblage,1,NN
assembly,3,NN
assent,4,NN
assert,1,VB
assertion,2,NN
assist,8,VB
assistance,34,NN
assistant,12,NN
assistants,2,NN
assisting,1,NN
associate,8,NN
associates,3,NN
association,4,NN
assortment,2,NN
assuage,1,VB
assume,4,VB
assumed,3,VB
assuming,2,NN
assurance,8,NN
assure,16,NN
assured,1,NN
astonish,1,VB
astonished,2,NN
astonishment,42,NN
astonishmentindeed,1,NN
astrakhan,1,NN
astride,1,NN
astronomer,1,NN
astronomy,1,NN
astronomynil,1,NN
astute,2,VB
astuteness,1,NN
asunder,1,NN
asylum,1,NN
at,21,NN
atavism,1,NN
ate,1,VB
athens,2,NN
athlete,1,NN
athwart,1,VB
atmosphere,12,NN
atone,2,VB
atrocity,1,NN
attach,1,VB
attachment,3,NN
attack,15,NN
attacked,1,NN
attacks,2,NN
attain,7,VB
attainments,1,NN
attempt,34,NN
attempted,2,NN
attend,6,VB
attendance,2,NN
attendant,7,NN
attention,67,NN
attentions,2,NN
attentionwhich,1,NN
attic,4,NN
attics,1,NN
attire,2,NN
attitude,9,NN
attorney,1,NN
attract,2,VB
attraction,1,NN
attractions,1,NN
attractive,1,VB
au,2,NN
audacity,3,NN
audience,1,NN
auditors,1,NN
aunt,2,NN
aunts,1,NN
aurora,12,NN
austerity,1,NN
authenticity,2,NN
author,6,NN
authorities,3,NN
authority,12,NN
authorship,1,NN
autobiography,1,NN
autocrat,1,NN
autumn,7,NN
autumnal,1,NN
avail,7,NN
avenge,4,VB
avenger,4,NN
avenging,1,NN
avenue,9,NN
average,1,NN
aversion,4,NN
avert,3,VB
averted,1,NN
avoid,10,VB
await,4,VB
awaiting,1,NN
awake,6,NN
away,50,NN
awe,1,NN
awhile,1,NN
awkward,1,NN
axe,2,NN
axiom,1,NN
ay,5,NN
aye,1,NN
babble,1,NN
babe,1,NN
baboon,5,NN
baby,2,NN
bachelor,11,NN
bachelors,1,NN
back,106,NN
backgammon,1,NN
background,4,NN
backi,1,NN
backs,3,NN
backward,8,NN
backwards,4,NN
bad,5,NN
bade,2,NN
badge,3,NN
badger,1,NN
bag,26,NN
baggage,1,NN
baggy,1,NN
bags,5,NN
bail,1,NN
bait,2,NN
baits,1,NN
baker,1,NN
balance,9,NN
balcony,2,NN
bald,3,NN
baldness,1,NN
baldwin,2,NN
ball,9,NN
ballarat,1,NN
balloon,1,NN
balm,1,NN
balmy,1,NN
bamboo,1,NN
ban,1,NN
band,22,NN
banda,1,NN
bandage,3,NN
bandages,1,NN
bandanna,1,NN
bands,1,NN
bandy,1,VB
bane,1,NN
bang,3,NN
banged,1,NN
banishment,1,NN
bank,29,NN
bankbook,1,NN
banker,12,NN
bankers,2,NN
banking,6,NN
banks,2,NN
banqueting,1,NN
bar,26,NN
barber,1,NN
barclay,2,NN
bare,18,NN
bargain,4,NN
barge,1,NN
barges,1,NN
bark,4,NN
barker,2,NN
barmaid,3,NN
barometer,2,NN
baronet,43,NN
baronets,3,NN
barque,5,NN
barracks,2,NN
barred,1,NN
barrel,18,NN
barrels,3,NN
barren,6,NN
barrenness,1,NN
barricade,1,NN
barrier,4,NN
barrister,1,NN
barrow,3,NN
barrymore,4,NN
bars,2,NN
bartender,2,NN
bartholomew,2,NN
baryta,1,NN
base,6,NN
basin,4,NN
basis,8,NN
bask,1,VB
baskerville,1,NN
basket,8,NN
basketful,1,NN
baskets,1,NN
basking,1,NN
bath,4,NN
bathroom,1,NN
battalion,1,NN
battery,2,NN
battle,7,NN
baulk,1,NN
baying,3,NN
bayonets,1,NN
be,2250,VB
beach,1,NN
beak,1,NN
beam,6,NN
beams,1,NN
bean,1,NN
bear,20,VB
beard,27,NN
bearded,3,NN
bearer,2,NN
bearhe,1,VB
bearing,17,NN
bearings,2,NN
beast,19,NN
beasts,2,NN
beat,19,VB
beatand,1,NN
beaten,4,NN
beating,4,NN
beatitude,1,NN
beauties,2,NN
beautiful,4,NN
beautifully,2,NN
beauty,19,NN
because,16,NN
bechers,1,NN
beckenham,1,VB
become,13,VB
bed,91,NN
bedding,1,NN
bedraggled,1,NN
bedroom,51,NN
bedrooms,1,NN
beds,2,NN
bedside,3,NN
bedtime,1,NN
bee,2,NN
beech,3,NN
beeches,2,NN
beef,3,NN
been,13,NN
beer,3,NN
bees,1,NN
beetle,3,NN
beetling,2,NN
befall,6,VB
befooled,1,VB
before,83,NN
beforehand,2,NN
beg,11,NN
began,4,NN
beget,1,VB
beggar,7,NN
beggarman,1,NN
beggary,1,NN
begging,1,NN
begin,17,VB
beginning,16,NN
behalf,4,NN
behind,22,NN
beige,2,NN
bein,1,NN
being,2,NN
beings,1,NN
beingsa,1,NN
belief,9,NN
believe,53,VB
believer,1,NN
bell,79,NN
belladonna,1,NN
belle,1,NN
bells,1,NN
bellwhich,1,NN
belly,1,NN
belong,3,VB
belonged,1,NN
belonging,1,NN
belongings,1,NN
belongs,1,NN
below,11,NN
belt,4,NN
bench,4,NN
bend,2,NN
bending,1,NN
beneath,23,NN
benefactor,3,NN
benefit,2,NN
benevolence,1,NN
benevolent,1,NN
bent,12,NN
bereavement,1,NN
berth,4,NN
beryl,1,NN
beryls,5,NN
besetting,1,NN
beshawled,1,NN
beside,18,NN
best,21,NN
bestiality,1,NN
bet,4,NN
betray,3,VB
betrayal,1,NN
betrayed,1,VB
betrothal,1,NN
better,25,NN
betting,3,NN
between,9,NN
bewildered,1,NN
bewilderment,6,NN
beyond,6,NN
bias,1,VB
biassed,1,NN
bicycle,20,NN
bicycling,1,NN
bicyclist,2,NN
bid,1,NN
bidding,1,NN
bier,1,NN
big,1,NN
bile,1,NN
bill,10,NN
billet,6,NN
billets,1,NN
billiard,6,NN
billycock,1,NN
binding,1,NN
biographer,2,NN
biography,2,NN
bird,34,NN
birds,6,NN
birdsa,1,NN
birlstone,4,VB
birmingham,3,VB
birth,3,NN
birthday,1,NN
birthplace,1,NN
biscuits,1,NN
bisulphate,1,NN
bit,34,NN
bite,4,NN
bitten,3,NN
bitter,4,NN
bitterly,7,NN
bitterness,4,NN
bitterns,1,NN
bizarre,2,NN
black,15,NN
blackboard,1,NN
blacker,2,NN
blackguard,2,NN
blackmail,5,NN
blackmailer,2,NN
blackmailers,2,NN
blackmailing,3,NN
blackness,1,NN
blacksmith,1,NN
blade,3,NN
blame,12,VB
blanche,2,NN
bland,2,NN
blandly,3,NN
blank,3,NN
blanket,1,NN
blast,3,VB
blasé,1,NN
blaze,5,NN
blazed,1,NN
blazing,6,NN
bleach,1,VB
bleak,2,NN
bleaker,1,NN
bleared,1,NN
bleeding,2,NN
blend,2,NN
bless,16,NN
blessing,2,NN
blessington,1,NN
blew,2,NN
blight,1,NN
blighted,1,NN
blind,15,NN
blinded,1,NN
blindly,1,VB
blinds,1,NN
blinked,1,NN
blinking,1,NN
blizzard,1,NN
bloc,1,NN
block,12,NN
blonde,2,NN
blood,96,NN
blooded,2,NN
bloodedness,1,NN
bloodhound,4,NN
bloodless,3,NN
bloodstain,1,NN
bloodstains,1,NN
bloody,3,NN
bloom,2,NN
blot,1,NN
blotched,1,NN
blotches,1,NN
blotted,1,VB
blotting,1,NN
blow,46,NN
blowing,2,NN
blown,1,NN
blows,3,NN
bludgeon,3,NN
blue,20,NN
bluff,4,NN
blunder,2,NN
blundering,1,NN
blunt,7,NN
bluntly,1,NN
blur,6,NN
blush,3,NN
blushes,1,NN
blushing,2,NN
bluster,3,VB
boa,1,NN
board,20,NN
boarded,1,NN
boarder,5,NN
boarders,1,NN
boarding,9,NN
boards,4,NN
boat,38,NN
boata,1,NN
boatman,3,NN
boats,4,NN
bob,2,NN
bodies,3,NN
bodkin,1,NN
body,98,NN
bog,6,NN
bogie,1,NN
bogus,1,NN
boil,1,NN
boiling,1,NN
boisterous,1,NN
boisterously,1,VB
bold,3,NN
bolder,1,NN
boldest,1,NN
boldly,2,NN
bolt,6,NN
bon,1,NN
bond,2,NN
bondage,1,NN
bonds,3,NN
bone,6,NN
bones,6,NN
boney,1,NN
bonnet,7,NN
bonniest,1,NN
bonny,1,NN
bony,1,NN
book,59,NN
booking,1,NN
bookkeeper,1,NN
bookone,1,NN
books,12,NN
booming,1,NN
boon,2,NN
boot,32,NN
bootlaces,1,NN
bootmark,1,NN
boots,23,NN
booty,2,NN
border,9,NN
borders,1,NN
bore,4,NN
boring,1,NN
borings,1,NN
born,1,NN
borne,1,VB
borrow,3,NN
bosom,8,NN
boss,6,NN
bosses,1,NN
boswell,1,NN
botanist,1,NN
botany,1,NN
botanyvariable,1,NN
both,5,VB
bother,1,NN
bottle,15,NN
bottles,4,NN
bottom,37,NN
bought,3,NN
boulder,9,NN
boulders,4,NN
bounce,1,NN
bound,13,NN
boundary,2,NN
bounding,2,NN
bounds,1,NN
bouquet,4,NN
bourgeois,1,NN
bow,10,NN
bowed,9,NN
bowing,3,VB
bowl,3,NN
bowls,1,NN
box,108,NN
boxer,2,NN
boxes,2,NN
boxing,2,NN
boy,83,NN
boyish,1,NN
boys,8,NN
brace,4,NN
bracken,1,NN
bradshaw,1,NN
brag,1,NN
brain,34,NN
brains,2,NN
branch,6,NN
brand,3,NN
branding,1,NN
brandy,13,NN
brass,14,NN
brassy,1,NN
bravado,1,NN
brave,5,NN
bravery,1,NN
brazen,2,NN
brazier,2,NN
breach,3,NN
bread,6,NN
breadth,5,NN
break,38,VB
breaker,1,NN
breakers,1,NN
breakfast,62,NN
breaking,5,NN
breakwater,1,NN
breast,25,NN
breastpin,1,NN
breastthat,1,NN
breath,26,NN
breatha,1,NN
breathe,2,VB
breathing,10,NN
breathless,2,NN
breathlessly,1,NN
breathlessness,1,NN
breckinridge,2,NN
bred,3,NN
breed,2,NN
breeding,1,NN
breezes,1,NN
brethren,2,NN
brewer,1,NN
brewing,1,NN
briar,2,NN
briarbrae,1,VB
brick,16,NN
bricks,3,NN
brickwork,1,NN
bridal,1,NN
bride,8,NN
bridegroom,7,NN
brides,1,NN
bridge,21,NN
bridle,4,NN
brief,1,NN
briefly,2,NN
brier,1,NN
brig,1,NN
brigade,2,NN
bright,11,NN
brighten,2,NN
brighter,2,NN
brightest,1,NN
brightly,3,NN
brightness,1,NN
brilliance,1,NN
brilliancy,1,NN
brilliant,5,NN
brim,1,NN
brimmed,2,NN
bring,76,VB
bringing,1,VB
brink,2,NN
brisk,4,NN
bristle,5,NN
bristles,1,NN
bristling,2,NN
broach,1,VB
broad,8,NN
broadcloth,1,NN
broadened,1,NN
broader,1,NN
brochure,1,NN
broken,5,NN
brokers,3,NN
bronze,3,NN
brooch,1,NN
brood,1,VB
brooding,3,NN
brook,1,NN
brother,121,NN
brotherfor,1,NN
brothers,4,NN
brougham,12,NN
brought,3,NN
brow,22,NN
brown,22,NN
brownish,1,NN
brows,1,NN
bruise,2,NN
bruises,1,NN
brunette,2,NN
brush,2,NN
brushed,1,VB
brusque,1,NN
brusquely,1,NN
brutal,1,NN
brutality,1,NN
brute,8,NN
brutish,1,NN
bubbling,1,NN
buck,1,NN
bucket,1,NN
buckle,1,NN
buckles,2,NN
buckwheat,1,NN
bud,1,NN
budget,1,NN
buffalo,1,NN
buffet,2,NN
bugle,1,NN
build,2,VB
builder,3,NN
building,39,NN
buildings,2,NN
buildingsthe,1,NN
built,2,NN
bulge,1,NN
bulk,4,NN
bulky,2,NN
bull,5,NN
bulldog,4,NN
bullet,9,NN
bullets,1,NN
bullier,1,NN
bullion,2,NN
bullocks,1,NN
bulls,1,NN
bully,1,NN
bullying,1,NN
bumper,1,NN
bumping,1,NN
bunch,2,NN
bundle,27,NN
bungalow,1,NN
bungalows,1,NN
bungler,1,NN
bunk,1,NN
bunker,1,NN
burden,5,NN
burdens,1,NN
bureau,15,NN
burglar,12,NN
burglarand,1,NN
burglars,2,NN
burglary,8,NN
burgle,1,VB
burial,1,NN
buried,1,VB
burn,6,NN
burned,4,NN
burner,1,NN
burnin,1,NN
burning,6,NN
burr,1,NN
burrow,3,NN
burrowing,1,NN
burst,22,NN
bury,1,NN
bush,8,NN
bushes,5,NN
bushy,2,NN
busily,1,NN
business,204,NN
businessshe,1,NN
busses,1,NN
bustle,2,NN
bustling,2,NN
busybody,3,NN
but,235,NN
butcher,1,NN
butchers,1,NN
butler,48,NN
butlers,1,NN
butt,3,NN
butter,1,NN
butterflies,1,NN
butterfly,4,NN
buttoned,2,NN
buttons,1,NN
buxom,1,NN
buy,12,VB
buzz,2,NN
buzzard,1,NN
buzzards,1,NN
buzzed,1,NN
buzzing,4,NN
by,22,NN
bye,20,NN
bygone,1,NN
byword,1,NN
c,1,NN
cab,114,NN
cabbage,1,NN
cabby,7,NN
cabdriver,1,NN
cabin,5,NN
cabinet,5,NN
cable,3,NN
cabman,19,NN
cabmans,2,NN
cabowners,1,NN
cabs,3,NN
cadet,1,NN
cage,5,NN
cake,1,NN
cakes,1,NN
calamity,1,NN
calculating,1,NN
calculation,6,NN
calculations,2,NN
caldron,1,NN
calendar,1,NN
calf,2,NN
calibre,1,NN
call,87,VB
called,3,NN
callers,1,NN
calling,2,NN
callosities,1,NN
calls,1,NN
calm,1,NN
calmer,1,NN
calmly,5,NN
calves,1,NN
came,10,NN
camel,1,NN
cameos,1,NN
camera,1,NN
camp,7,NN
campaign,7,NN
campaigner,2,NN
can,20,NN
candidacy,1,NN
candidate,2,NN
candle,45,NN
candles,1,NN
candlesticks,1,NN
cane,6,NN
canine,2,NN
cannibal,2,NN
cannot,43,NN
canoe,1,NN
canopy,1,NN
cant,15,NN
canteen,1,NN
cantonments,1,NN
canvas,5,NN
canyon,1,NN
cap,21,NN
capacity,8,NN
capital,19,NN
capitalist,1,NN
capitalists,1,NN
capitals,1,NN
caps,2,NN
captain,14,NN
captains,1,NN
captive,1,NN
capture,8,NN
car,3,NN
carafe,3,NN
caraffe,1,NN
caravan,4,NN
carbine,2,NN
carbolic,1,NN
carboy,1,NN
carbuncle,5,NN
carbuncles,1,NN
card,38,NN
cardboard,5,NN
cards,6,NN
care,51,NN
cared,1,NN
career,24,NN
careful,1,NN
careless,7,NN
carelessly,2,NN
carelessness,1,VB
cares,1,NN
caress,1,NN
caressing,1,NN
caretaker,2,NN
careworn,1,NN
cargo,3,NN
caribou,1,NN
carouse,1,NN
carpenter,2,NN
carpet,17,NN
carriage,62,NN
carry,40,VB
carrée,1,NN
cart,12,NN
cartilage,1,NN
cartridge,1,NN
cartridges,3,NN
cascade,1,NN
case,416,NN
caseful,1,NN
casement,1,NN
cases,17,NN
cash,1,NN
cashbox,1,NN
cashier,2,NN
cask,2,NN
casket,1,NN
cassock,1,NN
cast,7,NN
castaways,2,NN
castle,1,NN
castor,1,NN
cat,7,NN
catalepsy,3,NN
cataract,2,NN
catastrophe,7,NN
catch,38,VB
catcher,1,NN
catchy,1,NN
catechism,1,NN
category,2,NN
cathedral,1,NN
catholic,1,NN
catlike,1,NN
cats,1,NN
cattle,3,NN
caught,4,NN
cause,60,NN
causes,3,NN
causeway,1,NN
causing,1,NN
caution,7,NN
cautiously,1,NN
cavalcade,1,NN
cavalier,1,NN
cavalry,1,NN
cave,1,NN
cawnpore,1,VB
cañon,1,NN
cañons,1,NN
cch,1,NN
cease,3,VB
ceased,2,NN
ceaseless,2,NN
ceasing,1,NN
ceiling,20,NN
celebrate,1,VB
celebrity,1,NN
cell,7,NN
cellar,18,NN
cellarsomething,1,NN
cells,3,NN
censure,1,NN
cent,5,NN
centipedes,1,NN
centre,50,NN
centred,1,NN
century,12,NN
ceremony,10,NN
certain,2,NN
certainly,33,NN
certainlybut,1,NN
certainties,1,VB
certainty,11,NN
certificate,3,NN
certificates,1,NN
cesspool,1,NN
cest,1,NN
chaff,3,NN
chaffering,1,NN
chagrin,4,NN
chain,35,NN
chair,150,NN
chairman,11,NN
chairs,7,NN
chalk,5,NN
chalky,1,NN
challenge,3,VB
chamber,31,NN
chambermaid,1,NN
chambers,2,NN
chamois,1,NN
champagne,1,NN
champion,2,NN
chance,120,NN
chances,2,NN
change,50,NN
channel,3,NN
channels,3,NN
chaos,1,NN
chap,18,NN
chapel,2,NN
chaplain,6,NN
chaplet,4,NN
chapletuntil,1,NN
chaps,1,NN
chapter,15,NN
character,61,NN
characterdummy,1,NN
characteristic,2,NN
characteristics,3,NN
characters,6,NN
charcoal,3,NN
charge,42,NN
charing,1,NN
charitable,1,NN
charities,1,NN
charity,5,NN
charlatanism,1,NN
charm,3,NN
charming,1,NN
charred,1,NN
chart,11,NN
charthere,1,NN
chase,11,NN
chasing,1,NN
chasm,2,NN
chat,5,NN
chattering,1,NN
chatting,1,NN
cheap,2,NN
check,11,NN
cheek,7,NN
cheekbones,1,NN
cheeks,16,NN
cheer,2,VB
cheerful,5,NN
cheerfully,2,NN
cheerily,3,NN
cheeriness,1,NN
cheering,1,NN
cheerless,1,NN
cheery,7,NN
cheese,1,NN
cheetah,5,NN
chemical,15,NN
chemically,1,NN
chemicals,2,NN
chemist,3,NN
chemistry,2,NN
chemistryprofound,1,NN
cheque,1,NN
cheroot,1,NN
cheroots,1,NN
cherry,1,NN
chest,31,NN
chestnut,4,NN
chevy,1,VB
chicken,2,NN
chickens,1,NN
chief,11,NN
chiefs,1,NN
chiffon,1,NN
child,61,NN
childbed,1,NN
childhood,3,NN
childone,1,NN
children,19,NN
childrens,2,NN
childs,3,NN
chill,18,NN
chilling,1,NN
chiming,3,NN
chimney,5,NN
chimneys,5,NN
chimpanzee,1,NN
chin,23,NN
china,2,NN
chinchilla,1,NN
chink,3,NN
chip,2,NN
chirrup,1,NN
chisel,2,NN
choice,8,NN
choked,1,NN
chokey,1,NN
choleric,1,NN
choose,16,VB
chorus,1,NN
choruses,1,NN
chosen,6,NN
chronicle,3,VB
chronicler,3,NN
chubby,1,NN
chucking,1,NN
chuckled,1,VB
chuckling,3,NN
chum,1,NN
chummy,1,NN
chums,1,NN
church,15,NN
cigar,44,NN
cigarette,15,NN
cigarettes,1,NN
cigars,4,NN
cinder,1,NN
cinnamon,1,NN
cipher,13,NN
circle,26,NN
circles,1,NN
circlet,2,NN
circulation,2,NN
circumlocution,1,NN
circumstance,3,NN
circumstances,10,NN
circus,2,NN
citizen,3,NN
citizens,2,NN
city,28,NN
civilians,1,NN
civilisation,2,NN
clackin,1,NN
clad,16,NN
claim,32,NN
claimant,1,NN
clambering,1,NN
clamour,2,NN
clandestine,1,NN
clang,5,NN
clanging,1,NN
clank,2,NN
clanking,4,NN
clapped,1,VB
claret,1,NN
clasping,1,NN
class,13,NN
classes,2,NN
clatter,7,NN
clattering,1,NN
clawing,1,NN
claws,2,NN
clay,14,NN
clayey,1,NN
clean,5,NN
cleaned,1,VB
cleanliness,2,NN
cleanly,1,NN
clear,47,VB
cleared,3,NN
clearer,9,NN
clearest,1,NN
clearing,3,NN
clearly,3,NN
clearness,1,NN
cleaver,2,NN
cleft,2,NN
clergyman,9,NN
clerk,14,NN
clerks,2,NN
clerkship,2,NN
cleveland,1,VB
clever,13,NN
cleverest,1,NN
cleverness,3,NN
click,4,NN
client,54,NN
clients,3,NN
cliff,3,NN
climate,2,NN
climax,1,NN
climb,4,NN
climber,1,NN
climbing,1,NN
clink,3,NN
clinkers,1,NN
clinking,1,NN
clipped,1,NN
clipper,2,NN
clipping,1,NN
cloak,12,NN
clock,15,NN
close,19,NN
closed,7,NN
closely,1,NN
closeness,1,NN
closer,3,NN
closing,2,NN
cloth,13,NN
clothes,18,NN
clothing,3,NN
