term_str,n,n_chars,p,i,max_pos,df,idf,dfidf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
absence,37,7,4.2125492982120574e-05,14.53494690461237,NN,29,3.169925001442312,91.92782504182703,0.0001118788393059,0.0292003770588568,0.0,0.0025729910725992,0,0,0,1,0,1,0,1,0,0,-1
absent,32,6,3.6432858795347525e-05,14.74440027024132,JJ,28,3.2205510745122803,90.17543008634384,0.0001282002705393,0.0334602706107784,0.0,0.0042487481194093,0,0,0,0,0,1,0,1,0,0,-1
absentee,1,8,1.1385268373546102e-06,19.74440027024132,NN,1,8.027905996569885,8.027905996569885,9.05187184321844e-06,0.00236253855108,0.0,0.00236253855108,0,0,0,0,0,1,0,1,0,0,-1
abundant,4,8,4.554107349418441e-06,17.744400270241318,JJ,4,6.027905996569885,24.11162398627954,1.969570489022489e-05,0.0051405789763486,0.0,0.0019783084990383,0,0,0,0,1,0,1,0,0,0,1
abuse,4,5,4.554107349418441e-06,17.744400270241318,VB,4,6.027905996569885,24.11162398627954,2.980964469581976e-05,0.0077803172656089,0.0,0.0034783069801326,1,0,1,1,0,1,0,1,0,0,-1
abyss,3,5,3.4155805120638303e-06,18.159437769520164,NN,2,7.027905996569885,14.05581199313977,1.050369158070528e-05,0.002741463502564,0.0,0.0020347151119194,0,0,0,1,0,1,0,1,0,0,-1
accident,63,8,7.172719075334044e-05,13.767120346741404,NN,40,2.7059779016825223,108.2391160673009,0.0002161830345732,0.0564237720236301,0.0,0.0076310713527425,0,0,0,1,0,1,0,1,1,0,-1
accidental,7,10,7.969687861482271e-06,16.937045348183716,JJ,7,5.22055107451228,36.54385752158596,4.0592785980685606e-05,0.0105947171409589,0.0,0.0031223391593972,0,0,0,1,0,1,0,0,1,0,-1
accomplish,5,10,5.692634186773051e-06,17.422472175353956,VB,5,5.705977901682522,28.52988950841261,2.7958023487367405e-05,0.0072970441302028,0.0,0.0026914990102276,0,0,0,0,1,0,1,0,0,0,1
accomplished,11,12,1.252379521090071e-05,16.28496865160402,JJ,10,4.705977901682522,47.059779016825225,6.042186721803429e-05,0.0157701073439069,0.0,0.003188331911709,0,0,0,0,1,0,1,0,0,0,1
accord,6,6,6.8311610241276606e-06,17.159437769520164,NN,5,5.705977901682522,28.52988950841261,5.605781651564433e-05,0.0146310901105831,0.0,0.0048685818273741,0,0,0,0,0,0,1,0,0,1,1
accountable,1,11,1.1385268373546102e-06,19.74440027024132,JJ,1,8.027905996569885,8.027905996569885,1.4667744646283386e-05,0.0038282813526799,0.0,0.0038282813526799,0,0,0,0,0,0,1,0,0,1,1
accredited,2,10,2.2770536747092203e-06,18.74440027024132,VB,2,7.027905996569885,14.05581199313977,2.7199010816955853e-05,0.0070989418232254,0.0,0.0048636027657923,0,0,0,0,0,0,1,0,0,1,1
accurate,11,8,1.252379521090071e-05,16.28496865160402,JJ,11,4.568474377932588,50.25321815725847,4.59964788867939e-05,0.0120050809894532,0.0,0.0016386206520561,0,0,0,0,0,0,1,0,0,1,1
accursed,6,8,6.8311610241276606e-06,17.159437769520164,JJ,6,5.442943495848728,32.65766097509237,2.9760680174640667e-05,0.0077675375255812,0.0,0.0023883034207322,1,0,0,1,0,1,0,1,0,0,-1
accusation,7,10,7.969687861482271e-06,16.937045348183716,NN,7,5.22055107451228,36.54385752158596,5.514873647568492e-05,0.0143938202201537,0.0,0.0036354812496603,1,0,1,0,0,1,0,0,0,0,-1
accused,32,7,3.6432858795347525e-05,14.74440027024132,VB,28,3.2205510745122803,90.17543008634384,0.0001399478629693,0.0365263922349879,0.0,0.0056766470173541,1,0,0,1,0,1,0,0,0,0,-1
accuser,1,7,1.1385268373546102e-06,19.74440027024132,NN,1,8.027905996569885,8.027905996569885,3.909782702841778e-06,0.0010204532854417,0.0,0.0010204532854417,1,0,0,1,0,1,0,0,0,0,-1
accusing,6,8,6.8311610241276606e-06,17.159437769520164,VB,6,5.442943495848728,32.65766097509237,5.267466428273095e-05,0.0137480873777927,0.0,0.0031979691514974,1,0,0,1,0,1,0,0,0,0,-1
ache,1,4,1.1385268373546102e-06,19.74440027024132,VB,1,8.027905996569885,8.027905996569885,8.53447850256833e-06,0.0022274988891703,0.0,0.0022274988891703,0,0,0,0,0,1,0,1,0,0,-1
achieve,1,7,1.1385268373546102e-06,19.74440027024132,VB,1,8.027905996569885,8.027905996569885,9.666329517050997e-06,0.0025229120039503,0.0,0.0025229120039503,0,0,0,0,1,0,1,0,0,1,1
aching,6,6,6.8311610241276606e-06,17.159437769520164,VB,5,5.705977901682522,28.52988950841261,5.133324671627087e-05,0.0133979773929466,0.0,0.0038449985860394,0,0,0,0,0,1,0,1,0,0,-1
acquiring,2,9,2.2770536747092203e-06,18.74440027024132,VB,2,7.027905996569885,14.05581199313977,1.4989555170594236e-05,0.003912273899525,0.0,0.0031843706373221,0,1,0,0,0,0,1,0,0,0,1
acrobat,1,7,1.1385268373546102e-06,19.74440027024132,NN,1,8.027905996569885,8.027905996569885,9.178830356089605e-06,0.0023956747229393,0.0,0.0023956747229393,0,0,0,1,1,0,1,0,0,1,1
actionable,3,10,3.4155805120638303e-06,18.159437769520164,VB,2,7.027905996569885,14.05581199313977,1.8580858486321008e-05,0.0048496040649297,0.0,0.0040367064885524,1,0,1,0,0,1,0,0,0,0,-1
adder,1,5,1.1385268373546102e-06,19.74440027024132,NN,1,8.027905996569885,8.027905996569885,3.1144451724641827e-06,0.0008128701900131,0.0,0.0008128701900131,1,0,1,1,0,1,0,1,0,0,-1
addresses,5,9,5.692634186773051e-06,17.422472175353956,NN,5,5.705977901682522,28.52988950841261,3.429293518338608e-05,0.0089504560828637,0.0,0.0030926709494214,0,1,0,0,0,0,1,0,0,0,1
admirable,23,9,2.6186117259156032e-05,15.220838314184308,JJ,19,3.779978483126299,71.81959117939968,7.974100881763024e-05,0.0208124033014014,0.0,0.0023297247969961,0,0,0,0,1,0,1,0,0,1,1
admiral,1,7,1.1385268373546102e-06,19.74440027024132,NN,1,8.027905996569885,8.027905996569885,7.449324418323144e-06,0.0019442736731823,0.0,0.0019442736731823,0,0,0,0,0,0,1,0,0,1,1
admiration,31,10,3.529433195799291e-05,14.790203959854445,NN,25,3.38404980679516,84.601245169879,0.0001075042371727,0.0280586059020891,0.0,0.0022849762368637,0,0,0,0,1,0,1,0,0,1,1
admire,17,6,1.9354956235028373e-05,15.65693742899098,VB,17,3.940443155319545,66.98753364043226,0.0001017663046275,0.0265610055077879,0.0,0.0039963926524539,0,0,0,0,0,0,1,0,0,1,1
adorable,2,8,2.2770536747092203e-06,18.74440027024132,JJ,1,8.027905996569885,8.027905996569885,4.257198688339968e-05,0.0111112885765673,0.0,0.0111112885765673,0,0,0,0,1,0,1,0,0,0,1
adore,3,5,3.4155805120638303e-06,18.159437769520164,VB,3,6.442943495848728,19.328830487546185,3.810021373136221e-05,0.0099441557838855,0.0,0.0043710607163152,0,1,0,0,1,0,1,0,0,1,1
adrift,3,6,3.4155805120638303e-06,18.159437769520164,NN,3,6.442943495848728,19.328830487546185,2.7364194831065527e-05,0.0071420548509081,0.0,0.0034845557035417,0,1,0,1,0,1,0,1,0,0,-1
advance,26,7,2.9601697771219863e-05,15.043960552100229,NN,20,3.7059779016825214,74.11955803365045,9.395233486456152e-05,0.0245215593996505,0.0,0.0028420075933148,0,1,0,1,1,0,1,0,1,0,1
advent,4,6,4.554107349418441e-06,17.744400270241318,NN,4,6.027905996569885,24.11162398627954,3.0832568191562335e-05,0.0080473002979977,0.0,0.0028855461927093,0,1,0,0,1,0,1,0,0,1,1
adventure,52,9,5.9203395542439726e-05,14.043960552100229,NN,39,2.742503777707636,106.9576473305978,0.0001573587070438,0.04107062253845,0.0,0.0032001210941746,0,1,0,0,0,0,1,0,0,0,1
adversary,7,9,7.969687861482271e-06,16.937045348183716,NN,6,5.442943495848728,32.65766097509237,5.467163348056126e-05,0.0142692963384264,0.0,0.0035574794090514,1,0,0,0,0,1,0,0,0,0,-1
adversity,1,9,1.1385268373546102e-06,19.74440027024132,NN,1,8.027905996569885,8.027905996569885,5.720338576019391e-06,0.001493008368341,0.0,0.001493008368341,1,0,0,1,0,1,0,1,0,0,-1
advisable,4,9,4.554107349418441e-06,17.744400270241318,JJ,4,6.027905996569885,24.11162398627954,2.2635625469051063e-05,0.0059078982474223,0.0,0.0017988379577946,0,0,0,0,0,0,1,0,0,1,1
advise,32,6,3.6432858795347525e-05,14.74440027024132,VB,26,3.3274662784287923,86.5141232391486,0.000111788863851,0.0291768934651172,0.0,0.0031599869690681,0,0,0,0,0,0,1,0,0,1,1
adviser,3,7,3.4155805120638303e-06,18.159437769520164,NN,3,6.442943495848728,19.328830487546185,6.921032118610901e-06,0.0018063893829574,0.0,0.0007390391713522,0,0,0,0,0,0,1,0,0,1,1
affection,16,9,1.8216429397673763e-05,15.74440027024132,NN,14,4.22055107451228,59.087715043171926,8.05859733749221e-05,0.0210329390508546,0.0,0.0045676959680868,0,0,0,0,1,0,1,0,0,1,1
affirm,3,6,3.4155805120638303e-06,18.159437769520164,VB,3,6.442943495848728,19.328830487546185,2.6009580840458448e-05,0.0067885005993596,0.0,0.0037855132173024,0,0,0,0,0,0,1,0,0,1,1
affirmatively,1,13,1.1385268373546102e-06,19.74440027024132,NN,1,8.027905996569885,8.027905996569885,8.768033216435651e-06,0.0022884566694897,0.0,0.0022884566694897,0,0,0,0,0,0,1,0,0,1,1
affliction,2,10,2.2770536747092203e-06,18.74440027024132,NN,2,7.027905996569885,14.05581199313977,6.722820564035911e-06,0.0017546561672133,0.0,0.0010316949495845,0,0,1,1,0,1,0,1,0,0,-1
afraid,191,6,0.0002174586259347,12.16697144220557,JJ,105,1.3136604789037618,137.934350284895,0.0003326500482534,0.0868216625941472,0.0,0.004865409181125,0,0,0,1,0,1,0,0,0,0,-1
aggressive,4,10,4.554107349418441e-06,17.744400270241318,JJ,4,6.027905996569885,24.11162398627954,4.858104937800399e-05,0.012679653887659,0.0,0.0042420168871005,1,0,0,1,0,1,0,0,0,0,-1
aggressor,1,9,1.1385268373546102e-06,19.74440027024132,NN,1,8.027905996569885,8.027905996569885,6.290032826841772e-06,0.0016416985678057,0.0,0.0016416985678057,1,0,0,1,0,1,0,0,0,0,-1
aghast,4,6,4.554107349418441e-06,17.744400270241318,NN,4,6.027905996569885,24.11162398627954,3.954679717207322e-05,0.0103217140619111,0.0,0.0033864640430167,0,0,1,1,0,1,0,0,1,0,-1
agitated,24,8,2.732464409651064e-05,15.159437769520164,JJ,22,3.568474377932587,78.50643631451692,0.000133865156959,0.0349388059663038,0.0,0.0066082858850603,1,0,0,0,0,1,0,0,0,0,-1
agitation,34,9,3.8709912470056746e-05,14.65693742899098,NN,31,3.073709686183009,95.2850002716733,0.0001242352789594,0.0324254078084131,0.0,0.0019144875030725,1,0,0,0,0,1,0,0,0,0,-1
agonizing,2,9,2.2770536747092203e-06,18.74440027024132,NN,2,7.027905996569885,14.05581199313977,1.3235846585274873e-05,0.0034545559587567,0.0,0.0021948488434009,0,0,0,1,0,1,0,0,0,0,-1
agony,20,5,2.2770536747092204e-05,15.422472175353958,NN,19,3.779978483126299,71.81959117939968,6.326814149208959e-05,0.0165129849294353,0.0,0.0014946534136521,1,0,0,1,0,1,0,1,0,0,-1
agreeable,6,9,6.8311610241276606e-06,17.159437769520164,JJ,5,5.705977901682522,28.52988950841261,4.406183760573892e-05,0.0115001396150978,0.0,0.0031044493480318,0,0,0,0,0,0,1,0,0,1,1
agreed,103,6,0.0001172682642475,13.0578997430581,VB,74,1.8184526309409348,134.56549468962916,0.0002534895078668,0.0661607615532361,0.0,0.0025732820249164,0,0,0,0,0,0,1,0,0,1,1
agreeing,1,8,1.1385268373546102e-06,19.74440027024132,NN,1,8.027905996569885,8.027905996569885,1.1677395794706253e-05,0.0030478003024183,0.0,0.0030478003024183,0,0,0,0,0,0,1,0,0,1,1
agreement,7,9,7.969687861482271e-06,16.937045348183716,NN,6,5.442943495848728,32.65766097509237,4.5185434632600535e-05,0.0117933984391087,0.0,0.0049391501777211,0,0,0,0,0,0,1,0,0,1,1
ailing,2,6,2.2770536747092203e-06,18.74440027024132,VB,2,7.027905996569885,14.05581199313977,1.856784292891453e-05,0.0048462070044466,0.0,0.0031843706373221,0,0,0,1,0,1,0,1,0,0,-1
airs,5,4,5.692634186773051e-06,17.422472175353956,NN,5,5.705977901682522,28.52988950841261,3.530742046055576e-05,0.009215236740205,0.0,0.0025889191931408,0,0,1,0,0,1,0,0,0,0,-1
alarm,50,5,5.6926341867730505e-05,14.100544080466594,NN,34,2.940443155319545,99.97506728086452,0.0001418959315896,0.0370348381448961,0.0,0.0033682052180063,0,0,0,1,0,1,0,0,1,0,-1
alarming,6,8,6.8311610241276606e-06,17.159437769520164,VB,6,5.442943495848728,32.65766097509237,4.843267178458279e-05,0.0126409273357761,0.0,0.0028452396737316,0,0,0,1,0,1,0,0,1,0,-1
alcoholism,1,10,1.1385268373546102e-06,19.74440027024132,NN,1,8.027905996569885,8.027905996569885,8.902535607310062e-06,0.0023235617935079,0.0,0.0023235617935079,1,0,1,1,0,1,0,1,0,0,-1
alertness,3,9,3.4155805120638303e-06,18.159437769520164,NN,3,6.442943495848728,19.328830487546185,2.161435833102576e-05,0.0056413475243977,0.0,0.0022726432084122,0,1,0,1,0,0,1,0,1,0,1
alien,3,5,3.4155805120638303e-06,18.159437769520164,JJ,3,6.442943495848728,19.328830487546185,2.227632197458713e-05,0.0058141200353672,0.0,0.0030593273959395,0,0,1,1,0,1,0,0,0,0,-1
alive,71,5,8.083540545217732e-05,13.594653150736637,JJ,47,2.4733171448922477,116.24590580993562,0.0002015542743761,0.0526056656121767,0.0,0.0035252524870185,0,1,0,0,1,0,1,0,0,1,1
allegiance,2,10,2.2770536747092203e-06,18.74440027024132,NN,2,7.027905996569885,14.05581199313977,2.3160376690781444e-05,0.0060448583162939,0.0,0.0031262927031004,0,0,0,0,0,0,1,0,0,1,1
allied,2,6,2.2770536747092203e-06,18.74440027024132,VB,2,7.027905996569885,14.05581199313977,2.1360986156127057e-05,0.0055752173867491,0.0,0.0048636027657923,0,0,0,0,0,0,1,0,0,1,1
ally,20,4,2.2770536747092204e-05,15.422472175353958,NN,12,4.442943495848728,53.31532195018474,0.0001034153071991,0.0269913951789693,0.0,0.008478899801238,0,0,0,0,0,0,1,0,0,1,1
altercation,4,11,4.554107349418441e-06,17.744400270241318,NN,3,6.442943495848728,19.328830487546185,2.272742356432952e-05,0.00593185755029,0.0,0.0021263839920292,1,0,0,0,0,1,0,0,0,0,-1
amazingly,2,9,2.2770536747092203e-06,18.74440027024132,RB,2,7.027905996569885,14.05581199313977,3.037270886224057e-05,0.0079272770130447,0.0,0.0048940849558286,0,0,0,0,1,0,1,0,1,0,1
ambassador,7,10,7.969687861482271e-06,16.937045348183716,NN,5,5.705977901682522,28.52988950841261,5.612272975672541e-05,0.0146480324665053,0.0,0.0053526997201524,0,0,0,0,0,0,1,0,0,1,1
ambition,6,8,6.8311610241276606e-06,17.159437769520164,NN,5,5.705977901682522,28.52988950841261,3.846170966230554e-05,0.0100385062218617,0.0,0.0030818136114947,0,1,0,0,1,0,1,0,0,1,1
ambush,6,6,6.8311610241276606e-06,17.159437769520164,NN,6,5.442943495848728,32.65766097509237,3.4126765613715294e-05,0.0089070858251796,0.0,0.0021513610655528,1,0,0,1,0,1,0,0,1,0,-1
amen,5,4,5.692634186773051e-06,17.422472175353956,NN,4,6.027905996569885,24.11162398627954,2.747410837819691e-05,0.0071707422867093,0.0,0.0033184178346104,0,0,0,0,1,0,1,0,0,1,1
amicable,1,8,1.1385268373546102e-06,19.74440027024132,JJ,1,8.027905996569885,8.027905996569885,6.607574763320357e-06,0.0017245770132266,0.0,0.0017245770132266,0,0,0,0,1,0,1,0,0,0,1
amnesty,1,7,1.1385268373546102e-06,19.74440027024132,NN,1,8.027905996569885,8.027905996569885,3.1857338708706644e-06,0.0008314765402972,0.0,0.0008314765402972,0,0,0,0,1,0,1,0,0,0,1
amour,2,5,2.2770536747092203e-06,18.74440027024132,NN,2,7.027905996569885,14.05581199313977,2.5116417979278408e-05,0.0065553850925916,0.0,0.0037442226939637,0,1,0,0,1,0,1,0,0,1,1
amuse,16,5,1.8216429397673763e-05,15.74440027024132,VB,14,4.22055107451228,59.087715043171926,0.0001072976091712,0.0280046759937091,0.0,0.004046549448238,0,0,0,0,1,0,1,0,0,0,1
amused,21,6,2.390906358444681e-05,15.35208284746256,JJ,17,3.940443155319545,66.98753364043226,9.060958995734182e-05,0.0236491029788662,0.0,0.0038293908214961,0,0,0,0,1,0,1,0,0,0,1
amusement,21,9,2.390906358444681e-05,15.35208284746256,NN,19,3.779978483126299,71.81959117939968,7.938201507972606e-05,0.0207187059358085,0.0,0.0023543933248995,0,0,0,0,1,0,1,0,0,0,1
amusing,14,7,1.5939375722964542e-05,15.937045348183716,JJ,14,4.22055107451228,59.087715043171926,8.584572691825515e-05,0.0224057347256645,0.0,0.0036134855090002,0,0,0,0,1,0,1,0,0,0,1
analyst,2,7,2.2770536747092203e-06,18.74440027024132,IN,2,7.027905996569885,14.05581199313977,2.211925240941177e-05,0.0057731248788564,0.0,0.0037067014749841,0,1,0,0,0,0,1,0,0,1,1
anarchy,2,7,2.2770536747092203e-06,18.74440027024132,NN,2,7.027905996569885,14.05581199313977,1.2148316862339313e-05,0.0031707107010705,0.0,0.0017246395083607,1,0,0,1,0,1,0,0,0,0,-1
angel,27,5,3.074022460857447e-05,14.989512768077851,NN,8,5.027905996569885,40.22324797255908,7.057674759657094e-05,0.018420531122705,0.0,0.0055248518844964,0,1,0,0,1,0,1,0,1,1,1
angelic,1,7,1.1385268373546102e-06,19.74440027024132,JJ,1,8.027905996569885,8.027905996569885,7.274896055642447e-06,0.0018987478705226,0.0,0.0018987478705226,0,0,0,0,1,0,1,0,0,1,1
anger,47,5,5.351076135566668e-05,14.189811418563682,NN,38,2.779978483126299,105.63918235879936,0.0001385549111563,0.0361628318117959,0.0,0.0028194507942457,1,0,0,0,0,1,0,0,0,0,-1
angry,46,5,5.2372234518312064e-05,14.220838314184308,JJ,35,2.898622979624918,101.45180428687212,0.0001198519835051,0.0312813676948351,0.0,0.0024859545279802,1,0,1,0,0,1,0,0,0,0,-1
anguish,7,7,7.969687861482271e-06,16.937045348183716,NN,7,5.22055107451228,36.54385752158596,5.534049174203158e-05,0.0144438683446702,0.0,0.0028249735251689,1,0,0,1,0,1,0,1,0,0,-1
animated,5,8,5.692634186773051e-06,17.422472175353956,JJ,5,5.705977901682522,28.52988950841261,2.7896909663208497e-05,0.0072810934220974,0.0,0.0022597932283891,0,0,0,0,1,0,1,0,0,0,1
animosity,2,9,2.2770536747092203e-06,18.74440027024132,NN,2,7.027905996569885,14.05581199313977,6.3617059497903214e-06,0.0016604052528952,0.0,0.0013070310575729,1,0,1,1,0,1,0,1,0,0,-1
annihilated,1,11,1.1385268373546102e-06,19.74440027024132,VB,1,8.027905996569885,8.027905996569885,5.720338576019391e-06,0.001493008368341,0.0,0.001493008368341,1,0,0,1,0,1,0,1,0,0,-1
annihilation,3,12,3.4155805120638303e-06,18.159437769520164,NN,3,6.442943495848728,19.328830487546185,3.1504197120479284e-05,0.008222595448445,0.0,0.0034807906514579,1,0,0,1,0,1,0,1,0,0,-1
annoy,10,5,1.1385268373546102e-05,16.422472175353956,VB,8,5.027905996569885,40.22324797255908,7.590400087845575e-05,0.0198109442292769,0.0,0.0048022024800094,1,0,1,0,0,1,0,0,0,0,-1
annoyance,26,9,2.9601697771219863e-05,15.043960552100229,NN,22,3.568474377932587,78.50643631451692,0.0001085202544709,0.0283237864169081,0.0,0.0030447733600107,1,0,1,0,0,1,0,0,0,0,-1
annoying,17,8,1.9354956235028373e-05,15.65693742899098,VB,15,4.121015400961366,61.81523101442049,0.0001093882476761,0.02855033264348,0.0,0.0055916084137874,1,0,0,0,0,1,0,0,0,0,-1
anomaly,1,7,1.1385268373546102e-06,19.74440027024132,NN,1,8.027905996569885,8.027905996569885,4.047672130972005e-06,0.0010564424261836,0.0,0.0010564424261836,0,0,0,1,0,1,0,0,1,0,-1
antagonism,1,10,1.1385268373546102e-06,19.74440027024132,VB,1,8.027905996569885,8.027905996569885,9.546325426212372e-06,0.0024915909362414,0.0,0.0024915909362414,1,0,0,0,0,1,0,0,0,0,-1
antagonist,6,10,6.8311610241276606e-06,17.159437769520164,NN,6,5.442943495848728,32.65766097509237,2.892206222238048e-05,0.0075486582400413,0.0,0.0021513610655528,1,0,0,0,0,1,0,0,0,0,-1
antagonistic,1,12,1.1385268373546102e-06,19.74440027024132,JJ,1,8.027905996569885,8.027905996569885,1.6671143915044046e-05,0.0043511685618264,0.0,0.0043511685618264,1,0,1,0,0,1,0,0,0,0,-1
antipathy,3,9,3.4155805120638303e-06,18.159437769520164,NN,3,6.442943495848728,19.328830487546185,2.472042150295808e-05,0.006452030012272,0.0,0.0027939911083472,1,0,1,0,0,1,0,0,0,0,-1
anxiety,37,7,4.2125492982120574e-05,14.53494690461237,NN,31,3.073709686183009,95.2850002716733,0.000130501826001,0.0340609765862649,0.0,0.0042928906231606,1,1,0,1,0,1,0,1,0,0,-1
anxious,104,7,0.0001184067910848,13.043960552100229,JJ,77,1.761119455874983,135.6061981023737,0.0002316284043092,0.0604550135247077,0.0,0.0030842722519701,0,1,0,1,0,1,0,0,0,0,-1
apache,6,6,6.8311610241276606e-06,17.159437769520164,NN,5,5.705977901682522,28.52988950841261,4.743116139655668e-05,0.0123795331245012,0.0,0.0053103563533573,0,0,0,1,0,1,0,0,0,0,-1
apathetic,4,9,4.554107349418441e-06,17.744400270241318,JJ,4,6.027905996569885,24.11162398627954,2.5769079966229575e-05,0.0067257298711859,0.0,0.0027189472244338,0,0,0,0,0,1,0,1,0,0,-1
apologetic,3,10,3.4155805120638303e-06,18.159437769520164,JJ,3,6.442943495848728,19.328830487546185,2.0666346396827748e-05,0.005393916409572,0.0,0.0018366429577675,0,0,0,0,0,0,1,0,0,1,1
apologize,12,9,1.366232204825532e-05,16.159437769520164,VB,12,4.442943495848728,53.31532195018474,7.682241205317364e-05,0.0200506495458783,0.0,0.0026305171674652,0,0,0,0,0,0,1,1,0,1,1
apostle,1,7,1.1385268373546102e-06,19.74440027024132,NN,1,8.027905996569885,8.027905996569885,1.839608882969872e-05,0.0048013791845513,0.0,0.0048013791845513,0,0,0,0,0,0,1,0,0,1,1
appalling,5,9,5.692634186773051e-06,17.422472175353956,JJ,5,5.705977901682522,28.52988950841261,4.028675129507818e-05,0.0105148420880154,0.0,0.0035529127656802,0,0,1,1,0,1,0,0,0,0,-1
apparition,7,10,7.969687861482271e-06,16.937045348183716,NN,6,5.442943495848728,32.65766097509237,3.399716425989566e-05,0.0088732598718327,0.0,0.0037229435676119,0,0,0,1,0,0,0,0,1,0,0
applause,11,8,1.252379521090071e-05,16.28496865160402,NN,9,4.857980995127572,43.721828956148144,7.247511717917747e-05,0.0189160055837653,0.0,0.002905491025794,0,0,0,0,1,0,1,0,1,1,1
appreciation,9,12,1.0246741536191492e-05,16.574475268799006,NN,8,5.027905996569885,40.22324797255908,5.441403484223407e-05,0.014202063093823,0.0,0.0026786925927383,0,0,0,0,1,0,1,0,0,1,1
apprehension,8,12,9.10821469883688e-06,16.744400270241318,NN,8,5.027905996569885,40.22324797255908,4.842994217711966e-05,0.0126402149082282,0.0,0.0025026908892831,0,0,0,1,0,1,0,0,0,0,-1
apprehensive,1,12,1.1385268373546102e-06,19.74440027024132,JJ,1,8.027905996569885,8.027905996569885,2.0275715572350863e-05,0.0052919617643835,0.0,0.0052919617643835,0,1,0,1,0,1,0,0,0,0,-1
approbation,1,11,1.1385268373546102e-06,19.74440027024132,NN,1,8.027905996569885,8.027905996569885,1.1052195660530458e-05,0.0028846230673984,0.0,0.0028846230673984,0,0,0,0,0,0,1,0,0,1,1
approve,2,7,2.2770536747092203e-06,18.74440027024132,VB,2,7.027905996569885,14.05581199313977,2.010751659827176e-05,0.0052480618321489,0.0,0.0035280652593222,0,0,0,0,1,0,1,0,0,1,1
archaeology,1,11,1.1385268373546102e-06,19.74440027024132,NN,1,8.027905996569885,8.027905996569885,1.4135230019878798e-05,0.0036892950351883,0.0,0.0036892950351883,0,1,0,0,0,0,1,0,0,0,1
ardent,4,6,4.554107349418441e-06,17.744400270241318,JJ,4,6.027905996569885,24.11162398627954,3.0510916201552594e-05,0.0079633491286052,0.0,0.0032600897764033,0,1,0,0,1,0,1,0,0,0,1
argue,21,5,2.390906358444681e-05,15.35208284746256,VB,21,3.635588573791124,76.34736004961361,0.0001229154207572,0.0320809248176546,0.0,0.0063670552956061,1,0,0,0,0,1,0,0,0,0,-1
argument,20,8,2.2770536747092204e-05,15.422472175353958,NN,16,4.027905996569885,64.44649594511816,0.0001162719393573,0.0303469761722588,0.0,0.0055749563966365,1,0,0,0,0,1,0,0,0,0,-1
arid,2,4,2.2770536747092203e-06,18.74440027024132,JJ,1,8.027905996569885,8.027905996569885,1.6932706040878756e-05,0.0044194362766693,0.0,0.0044194362766693,0,0,0,0,0,1,0,1,0,0,-1
